CatalogID,ProductionDate,ReleaseDate,Number,ProductGroupID
EEFC0D7D-46EB-4DD1-B95D-1AE3A67E9699,1996-07-26 11:45:54,1994-02-28 00:00:00,9802/2510,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
F90DE891-6ECC-4D1E-96D5-1B13BCC3E574,2011-06-22 00:00:00,2006-10-17 00:00:00,9802/5500,2B0BB246-BF29-4B57-B9DC-62A80A3C112A
BEFBB904-2ECC-45F0-BD73-1B9CC81001D3,,2014-09-15 17:42:27,9822/0935,89FB1C3F-5F21-4FE9-A339-341AA83A5284
0D04701C-5877-4229-9B97-1BB83D20683D,,2010-12-01 15:47:56,9822/0225,
80B123D2-AA10-4513-89FC-1BBB8AE6B8CB,,2008-06-11 10:07:10,9822/0375,
6815D34B-6D33-4716-8307-1D217867F00A,2002-09-30 11:47:16,1995-05-08 00:00:00,9802/2520,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
C0C13968-5C58-4ADB-A5A2-1D5FA5D0CE10,1988-12-23 00:00:00,1987-06-30 00:00:00,9802/7610,A2E464FA-1289-481A-B439-A6CBF5F0D0E5
44B0C79A-1B1F-4DA2-9829-1D83006339E5,,2010-01-01 09:00:35,9822/0055,59DE41B8-D56A-401C-BE0E-39CA6404D531
895CCCED-7A67-46CA-A860-1D9F57F6C438,,2009-05-01 09:04:18,9812/6100,
BAC0BF27-B869-4ECD-AED8-1DA5A22B51B5,2003-01-27 10:42:48,2001-03-26 00:00:00,9802/2610,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
BE7DE312-39B9-44D6-B71B-1DAEF8B538AC,1996-12-23 00:00:00,1994-12-15 00:00:00,9802/7950,E6206E74-E250-492B-A203-F69326C31B4B
10307478-249F-4B3F-8512-1E262AF3230B,,2001-01-01 00:00:00,9802/0060,6A35BF04-B5B7-4503-ADF8-B577DFFEC2D2
691B2102-C576-4A5C-AF44-1E99D143CE58,2014-02-03 14:24:08,2011-02-03 14:24:08,9822/0305,E6206E74-E250-492B-A203-F69326C31B4B
60455F70-C537-4DDE-BD7C-1F34FC66CB63,1992-10-16 11:36:23,1990-05-25 00:00:00,9802/8800,91A20DA3-5B80-4DA6-84ED-4BAA3300F810
